pmid,title_e,journal,abstract,topic
34979577,[Mania after COVID-19 Infection].,Psychiatr Prax,"We report the first manifestation of mania in an 85-year-old patient who had not previously received any psychiatric treatment. The patient had had Alzheimer's type dementia for 3 years. The COVID-19 infection took a mild course in accordance with the RKI guidelines. This was followed by a manic syndrome according to the ICD-10 with a clearly elevated mood, increased drive and behavior that occured for the first time in the patient's life.",alzheimer
34974434,Telemedicine in French Memory Clinics During the COVID-19 Pandemic.,J Alzheimers Dis,"This multicenter study was conducted in French memory clinics during the first COVID-2019 lockdown (March-May 2020). The objective was to evaluate the effect of a telemedicine consultation on treatment modification in dementia care. Among 874 patients who had a telemedicine consultation, 103 (10.7%) had treatment modifications, in particular those living with a relative or diagnosed with Alzheimer's disease. A control group of patients referred March-May 2019 was also included. Treatment modification rate was similar between periods with an adjusted percentage difference of -4% (p = 0.27). Telemedicine consultations allowed treatment modifications with only a minor short-term negative impact on therapeutic strategies.",alzheimer
34973027,Cognitive Enhancement Through Mathematical Problem-Solving.,Adv Exp Med Biol,"Nowadays, modern lifestyle along with the ever-growing technological and scientific advancement, especially in developed countries, has led to a significant increase of the middle age and elderly population. As a consequence, a substantial rise in neurodegenerative diseases has been reported, such as mild cognitive impairment, Alzheimer's disease, and other types of dementia. The aim of this paper is to study the impact of mathematical problem-solving on cognitive enhancement of adults. Moreover, the possible applicability of mathematical problem-solving as part of a treatment in cases of adults suffering from different levels of cognitive decline due to neurodegenerative diseases has been taken into consideration. For the needs of this study, a qualitative research was conducted in a sample of 16 participants, in order to confirm the effect of the mathematical problem-solving process on their cognition and its reinforcement, as stated by the participants. The results of this research, as interpreted, indicate a positive effect of mathematical problem-solving on adult cognition and on cognitive processes in general. Nonetheless, there are certain limitations to this research, deriving from its nature, while others derive from the measures enforced during the SARS-CoV-2 outbreak. Therefore, this chapter suggests that a more thorough quantitative research should be conducted in order to specifically measure the magnitude, as well as the time span of the impact of mathematical problem-solving on adult cognitive enhancement. Moreover, it is proposed that future studies should concentrate on the usefulness of mathematical problem-solving as a component in both invasive and noninvasive cognitive treatments used to cure or alleviate the aforementioned cognitive impairments.",alzheimer
34971298,Being a frail older person at the time of the COVID-19 pandemic.,Alzheimers Dement,"BACKGROUND: During the COVID-19 pandemic, frail older individuals have been identified as a particularly vulnerable group for poor health outcomes, including cognitive decline and dementia. We aimed to reflect on the interaction between frailty and COVID-19 with regards to health consequences. METHOD: Using a rapid literature review approach, we aimed to identify what it means to be a frail older individual in the COVID-19 pandemic from the perspective of three different settings: community, hospitals, and nursing homes. Four researchers from 4 countries (Ireland, France, Germany, and Brazil) reviewed articles from the MEDLINE database and grey literature including public policy briefs from their countries. RESULTS: In the community, some governments advised to practice ""cocooning"", i.e. stay-at-home-orders for older individuals. This brought unprecedented restrictions to lifestyles, leading to a potential frailty cascade among older adults. Social frailty likely caused mental ill-health, cognitive and functional decline, increasing the risk for dementia. In hospitals, frailty affected from disease onset to survivorship. The clinical presentation was rather atypical, and the biological findings were more heterogenous. Some resource allocation strategies based on the Clinical Frailty Scale remained questionable and should take into account patients' and carers' needs. A quarter of patients had increased care needs at discharge. However, availability of rehabilitation and support services in the community has been reduced. Frail older adults living in nursing homes were the most vulnerable group. Isolating residents and limiting the spread of COVID-19 was a key difficulty. Reduced visits from relatives, cancelled physical activities, and lack of social engagement worsened cognitive, behavioral, and physical conditions of the residents. There were also positive aspects such as the boom of digital literacy and telemedicine and a renewed debate on age and ageing. CONCLUSIONS: The COVID-19 pandemic spotlights the ageing population that is rapidly growing worldwide. Prolonged lifestyle restrictions during the pandemic led to poor health outcomes in frail older individuals, including cognitive decline and dementia. Lessons learned from how frail older individuals are getting through the pandemic provide a unique chance to improve health outcomes, community and health services and how we want to live as ageing societies.",alzheimer
34971296,Caring for residents with dementia during a COVID-19 outbreak in a long-term care home.,Alzheimers Dement,"BACKGROUND: Although there have been considerable public concerns about the impact of COVID-19 on residents living in long-term care homes, much less attention has focused on lessons learned from staff experiences about caring for people with dementia during outbreaks. The outbreaks added significant additional stress to the nursing workforce, which has historically experienced high turnover, chronic staffing shortages, and increased burnout in long-term care settings. We conducted focus groups (n=20) and individual interviews (n=10) to investigate critical challenges, experiences, and support needed for frontline staff in a long-term care home in British Columbia, Canada. A total of 30 staff in multiple disciplines participated in the study. They included Registered Nurses, Licenced Practical Nurses, care staff, recreational staff, and unit clerks. We applied qualitative thematic analysis and identified four themes: (a) I am proud, (b) we become stronger, (c) I am nervous (d) the vaccine helps. The frontline staff's voices provided a detailed description of their emotional experiences, creative coping strategies and positive stories about caring for the most vulnerable population in extraordinary situations. In our poster, lessons learned and implications for future research and practice will be explored and discussed.",alzheimer
34971293,Addressing dementia challenges through international networks: Evidence from the Latin American and Caribbean Consortium on Dementia (LAC-CD).,Alzheimers Dement,"BACKGROUND: LAC-CD has recently reported that challenges faced by LAC countries are very similar to those experienced by HIC, and that regional networks will be needed to bridge gaps. ReDLat is a US-LAC multi-partner consortium aimed at expanding dementia research in LAC. The UK-Latin America Brain Connectivity Research Network (UL-BCRN) focuses on developing new affordable EEG-based biomarkers for dementia. The Language and Brain Health Network (LBHN) integrate international multidisciplinary efforts to reveal linguistic markers of neurodegenerative diseases. METHODS: ReDLat is collecting genomic, neuroimaging, clinical, cognitive, and socioeconomic data from a first-in-class cohort anchored in six LAC (Argentina, Chile, Colombia, Brazil, Mexico, and Peru) and will compare these to US data (> 4200 participants, including 2100 controls, 1050 AD patients, and 1050 FTD patients). The 5-year project will develop innovative, harmonized, and cross-nation approaches on two of the most prevalent neurodegenerative diseases, Alzheimer's disease (AD) and Frontotemporal Dementia (FTD). The UL-BCRN currently links seven EEG labs from Colombia, Argentina, Chile, Brazil and the UK. The network's vision is to forge strong relationships between labs through which new methodologies, EEG plus multidimensional datasets, and experience will be developed and shared. The LBHN will analyze speech samples from massive AD, FTD, and control cohorts across LAC, Spain, and the US. This effort aims to identify low-cost disease-specific markers in diverse Latino and English-speaking patients. RESULTS: ReDLat will aims to reveal unique risk factors for AD and FTD in LAC compared to US populations. Data collection strategies have been adapted to face the challenges brought by the COVID-19 pandemic. The UL-BCRN has now standardised recording protocols across LAC and UK labs and is collecting data from longitudinal cohorts of patients at risk of dementia relying on novel culture-free cognitive paradigms. Preliminary LBHN data shows that, automated speech analyses can identify Latinos with AD and FTD, with good generalization across socio-biological profiles, dialects, and languages. CONCLUSION: By broadening our understanding of dementia phenotypes, risk factors, and affordable diagnostic approaches in LAC, adding new evidence on variability across HIC and LMIC, the above networks will contribute unique knowledge that will help enhance future global dementia strategies.",alzheimer
34971289,Telehealth outreach programming in the Pacific island of Guam: Providing access to dementia care support services during the COVID-19 pandemic.,Alzheimers Dement,"BACKGROUND: The COVID-19 pandemic has led to heightened levels of isolation and loneliness for millions of individuals and families worldwide, resulting in adverse health and mental health outcomes. Persons with dementia and their family caregivers are particularly vulnerable due to the deleterious impact of social isolation on both dementia symptoms and caregiver burden. One of the greatest challenges for dementia patients has been accessing dementia care services during COVID-19 lockdowns. In the Pacific island of Guam, the pandemic quickly led to the closure of senior centers, adult day care centers, family caregiver support programs, and other social services for older adults and their families in March 2020. As a result, persons with dementia suddenly found themselves isolated at home and dependent upon family members to provide round-the-clock care. This presentation will describe the development of an innovative telehealth outreach program that was launched in Guam in the summer of 2020, three months after the first COVID-19 case had appeared on the island. The program was designed to provide improved access to social support and specialized community services for persons with dementia and their family caregivers. There are four components: (1) virtual family caregiver support groups where participants can share the stresses and challenges of caring for a loved one with dementia with others who are going through similar experiences; (2) virtual presentation and consultation sessions led by dementia care specialists from the community providing easy access to dementia care information and services; (3) 24/7 family caregiver support networks through mobile messaging apps to mitigate social isolation and ensure the availability of support in times of crisis; and (4) telehealth family counseling for persons with dementia and their family members employing narrative approaches that embrace the oral storytelling traditions of Pacific island cultures. The community response has been strong with approximately 50-60 family caregivers and persons with dementia participating in the program monthly. Project outcomes suggest that telehealth outreach services represent an effective and sustainable approach to connecting persons living with dementia and their family caregivers to community resources during times of isolation.",alzheimer
34971287,Dissemination of person-centered community care for mild dementia using local cooperatives in Korea during the COVID-19 pandemic.,Alzheimers Dement,"BACKGROUND: To promote aging in place and improve the quality of life for persons with mild dementia during COVID-19 pandemic, there is a need to support them in their community in-person approach. Therefore, person-centered community care for individual service and support in the community is an urgent priority. This study aimed to develop a person-centered community service for mild dementia patient to collaborate with local cooperatives and test its feasibility. METHODS: This study was done from March to December, 2020. The person centered community service manual was developed based on previous guidelines and studies. The manual guided person-centered assessment, tailored intervention, and outcome evaluation based on six domains; person-hood, daily life, cognitive health, physical activity, safety, and community support. The local cooperatives for community care participated to provide comprehensive needs assessment and individualized service to the community residents with mild dementia. The staff visited the patient's home and provide individual service. The feasibility study was tested with the staff and patients. RESULTS: This study found that the service was effective for initial rapport, comprehensive assessment, individualized planning, person-centered service provision, referral to community service, and outcome evaluation. However, service provider's increased workloads and the time for home visiting and completing the service were identified as barriers during pandemic period. In addition, service providers still experienced lack of knowledge and skills in enhancing safety such as precaution and social distancing. CONCLUSION: The person-centered community service can be useful to enhance the safe and sustainable community services during COVID-19 pandemics. Collaboration with local cooperatives can be the best practices through the well-designed manual.",alzheimer
34971285,Effectiveness of home-based telerehabilitation in mild to moderate Alzheimer's disease: A randomised controlled study.,Alzheimers Dement,"BACKGROUND: The COVID-19 pandemic has made it necessity that rehabilitation services are provided remotely to patients. These process required a transformation in healthcare. The aim of this study was investigate the effectiveness of the home-based online supervised exercise program in Alzheimer's disease (AD). To our knowledge, this is the first study to report the results of real-time supervised physical exercise telerehabilitation program in AD. METHOD: Eighteen subjects with early-middle stage of AD were randomised into 2 group as telerehabilitation group (TG; mean age: 77.7 +/- 5.29 years; 7 Female, 3 Male) and control group (CG; mean age: 78.5 +/- 7.07 years; 5 Female, 3 Male). Our primary outcome was Mini-Mental State Examination (MMSE), seconder outcomes were Timed Up&Go (TUG), One-leg Balance Test (OLBT), Functional Independence Measure (FIM), Geriatric Depression Scale-Short Form (GDS). The 6-week motor-cognitive dual-task exercise training was performed online and under the supervision of physiotherapist through videoconference. No physical or cognitive intervention was applied to the control group for 6 weeks. Subjects were assessed before and after the treatment. In statistical analysis, the change in the outcome scores was calculated ( = last measurement-first measurement), the difference between the groups was performed with the Mann Whitney-U Test in SPSS 22.0. Trial's protocol is registered with Clinicaltrials.gov under number NCT04606251. RESULT: There was a significant difference between TG and CG in favor of TG in MMSE, TUG, FIM and GDS (p<0,05); There was no significant difference between groups in OLBT (p>0,05). Statistical results have been showed in Table 1. No safety problem was observed during the treatment. All subjects were completed the study, there was a high adherence to treatment. CONCLUSION: Physical exercise treatment with telerehabilitation was feasible, safe and well-accepted by people with early-middle stage of AD. Online-supervised exercise program can improve cognitive function, functional mobility, independence and reduce depressive symptoms.",alzheimer
34971276,Development and dissemination of an ethical guidance and person-centred isolation care planning tool to support the care of people with dementia during the COVID-19 pandemic.,Alzheimers Dement,"BACKGROUND: Long-term care (LTC) residents have been disproportionately impacted by the COVID-19 pandemic, both from the virus itself and the restrictions in effect for infection prevention and control. Many barriers exist in LTC to prevent the effective isolation of suspect or confirmed COVID-19 cases. Furthermore, these measures have a severe impact on the well-being of LTC residents. Our aim was to develop a guide for long-term care to address the ethical challenges associated with isolating dementia patients during the pandemic. The Dementia Isolation Toolkit (DIT) was developed by members of the research team in partnership with LTC stakeholders to address: 1) the practical challenges of isolating or quarantining people with dementia in a compassionate, safe, and effective manner; and 2) the need for ethical guidance to support decision-making regarding isolation and infection control in LTC, to prevent indecision and moral distress. To develop the DIT the team reviewed and synthesized the literature on pandemic ethics in a plain-language document, which was then reviewed by our partners and stakeholders. The final ethical guidance tool includes a discussion of the ethics around infection control measures in a pandemic, an ethical decision-making tool, and a person-centred isolation care planning tool. The ethical guidance tool has been downloaded more than 6500 times since it was published (bit.ly/dementiatoolkit), and has been disseminated internationally. The worksheets are being used during outbreaks to support care and decision-making, as well as proactively, to prepare for outbreaks by developing isolation care plans. There is a need for support for ethical decision-making in the context of a pandemic, particularly in settings such as LTC. Future studies will evaluate the implementation of the tool and its impact in addressing moral distress in health care providers in long-term care.",alzheimer
